feature,n_valid,n_unique,passed,reasons
LHipAngles_ax1_phase_20_30_min__median,31,31,True,
LHipAngles_ax1_phase_20_30_max__median,31,31,True,
LHipAngles_ax1_phase_20_30_rom__median,31,31,True,
LHipAngles_ax1_phase_30_40_mean__median,31,31,True,
LHipAngles_ax1_phase_30_40_min__median,31,31,True,
LHipAngles_ax1_phase_30_40_max__median,31,31,True,
LHipAngles_ax1_phase_30_40_rom__median,31,31,True,
LHipAngles_ax1_phase_40_50_mean__median,31,31,True,
LHipAngles_ax1_phase_40_50_min__median,31,31,True,
LHipAngles_ax1_phase_40_50_max__median,31,31,True,
LHipAngles_ax1_phase_40_50_rom__median,31,31,True,
LHipAngles_ax1_phase_50_60_mean__median,31,31,True,
LHipAngles_ax1_phase_50_60_min__median,31,31,True,
LHipAngles_ax1_phase_50_60_max__median,31,31,True,
LHipAngles_ax1_phase_50_60_rom__median,31,31,True,
LHipAngles_ax1_phase_60_70_mean__median,31,31,True,
LHipAngles_ax1_phase_60_70_min__median,31,31,True,
LHipAngles_ax1_phase_60_70_max__median,31,31,True,
LHipAngles_ax1_phase_60_70_rom__median,31,31,True,
LHipAngles_ax1_phase_70_80_mean__median,31,31,True,
LHipAngles_ax1_phase_70_80_min__median,31,31,True,
LHipAngles_ax1_phase_70_80_max__median,31,31,True,
LHipAngles_ax1_phase_70_80_rom__median,31,31,True,
LHipAngles_ax1_phase_80_90_mean__median,31,31,True,
LHipAngles_ax1_phase_80_90_min__median,31,31,True,
LHipAngles_ax1_phase_80_90_max__median,31,31,True,
LHipAngles_ax1_phase_80_90_rom__median,31,31,True,
LHipAngles_ax1_phase_90_100_mean__median,31,31,True,
LHipAngles_ax1_phase_90_100_min__median,31,31,True,
LHipAngles_ax1_phase_90_100_max__median,31,31,True,
LHipAngles_ax1_phase_90_100_rom__median,31,31,True,
RHipAngles_ax1_phase_0_10_mean__median,31,31,True,
RHipAngles_ax1_phase_0_10_min__median,31,31,True,
RHipAngles_ax1_phase_0_10_max__median,31,31,True,
