subject_id,session_name,victimized,n_kinfc,alternates,event_validation,n_cycles,n_left_cycles,n_right_cycles,n_pass,n_pass_with_warnings,n_fail,n_usable_lower_body,n_normalized_ok
S34,WU12,Y,6,True,PASS,4,2,2,4,0,0,4,4
S35,WU01,N,5,True,PASS,3,2,1,3,0,0,3,3
S35,WU02,N,3,True,PASS,1,0,1,1,0,0,1,1
S35,WU03,N,4,True,PASS,2,1,1,2,0,0,2,2
S35,WU04,N,3,True,PASS,1,0,1,1,0,0,1,1
S35,WU05,N,4,True,PASS,2,1,1,2,0,0,2,2
S35,WU06,N,3,True,PASS,1,1,0,1,0,0,1,1
S35,WU07,N,2,True,PASS,0,0,0,0,0,0,0,0
S35,WU08,N,3,True,PASS,1,1,0,1,0,0,1,1
S35,WU09,N,5,True,PASS,3,2,1,3,0,0,3,3
S35,WU10,N,4,True,PASS,2,1,1,2,0,0,2,2
S35,WU11,N,3,True,PASS,1,0,1,1,0,0,1,1
S35,WU12,N,4,True,PASS,2,1,1,2,0,0,2,2
S37,WU01,Y,6,True,PASS,4,2,2,4,0,0,4,4
S37,WU02,Y,7,True,PASS,5,2,3,5,0,0,5,5
S37,WU03,Y,4,True,PASS,2,1,1,2,0,0,2,2
S37,WU04,Y,7,True,PASS,5,2,3,5,0,0,5,5
S37,WU05,Y,6,True,PASS,4,2,2,4,0,0,4,4
S37,WU06,Y,6,True,PASS,4,2,2,4,0,0,4,4
S37,WU07,Y,6,True,PASS,4,2,2,4,0,0,4,4
S37,WU08,Y,6,True,PASS,4,2,2,4,0,0,4,4
S37,WU09,Y,7,True,PASS,5,2,3,5,0,0,5,5
S38,WU01,Y,5,True,PASS,3,2,1,3,0,0,3,3
S38,WU02,Y,7,True,PASS,5,2,3,5,0,0,5,5
S38,WU03,Y,6,True,PASS,4,2,2,4,0,0,4,4
S38,WU04,Y,5,True,PASS,3,1,2,3,0,0,3,3
S38,WU05,Y,5,True,PASS,3,2,1,3,0,0,3,3
S38,WU06,Y,6,True,PASS,4,2,2,4,0,0,4,4
S38,WU07,Y,6,True,PASS,4,2,2,4,0,0,4,4
S38,WU08,Y,7,True,PASS,5,2,3,5,0,0,5,5
S38,WU09,Y,6,True,PASS,4,2,2,4,0,0,4,4
S39,WU01,N,8,True,PASS,6,3,3,6,0,0,6,6
S39,WU02,N,6,True,PASS,4,2,2,4,0,0,4,4
S39,WU03,N,5,True,PASS,3,1,2,3,0,0,3,3
S39,WU04,N,8,True,PASS,6,3,3,6,0,0,6,6
S39,WU05,N,6,True,PASS,4,2,2,4,0,0,4,4
S39,WU06,N,5,True,PASS,3,2,1,3,0,0,3,3
S39,WU07,N,7,True,PASS,5,3,2,5,0,0,5,5
S39,WU08,N,7,True,PASS,5,2,3,5,0,0,5,5
S39,WU09,N,6,True,PASS,4,2,2,4,0,0,4,4
S39,WU10,N,6,True,PASS,4,2,2,4,0,0,4,4
S40,WU01,N,7,True,PASS,5,3,2,5,0,0,5,5
S40,WU02,N,4,True,PASS,2,1,1,2,0,0,2,2
S40,WU03,N,6,True,PASS,4,2,2,4,0,0,4,4
