feature,full_cliffs_delta,loso_delta_median,loso_delta_min,loso_delta_max,loso_direction_agreement,loso_max_abs_shift
LAnkleAngles_ax1_phase_80_90_rom__median,-0.09243697478991597,-0.08597285067873303,-0.167420814479638,-0.03571428571428571,1.0,0.07498383968972203
LAnkleAngles_ax1_phase_90_100_rom__median,-0.33613445378151263,-0.32142857142857145,-0.41964285714285715,-0.29411764705882354,1.0,0.08350840336134452
RAnkleAngles_ax1_phase_90_100_max__median,0.01680672268907563,0.03571428571428571,-0.044642857142857144,0.08035714285714286,0.6451612903225806,0.06355042016806724
RAnkleAngles_ax1_phase_0_10_rom__median,0.04201680672268908,0.04072398190045249,-0.03167420814479638,0.11312217194570136,0.8709677419354839,0.07369101486748546
RAnkleAngles_ax1_phase_10_20_mean__median,-0.01680672268907563,-0.017857142857142856,-0.07692307692307693,0.058823529411764705,0.6129032258064516,0.07563025210084033
RAnkleAngles_ax1_phase_20_30_min__median,0.1092436974789916,0.09821428571428571,0.04072398190045249,0.19457013574660634,1.0,0.08532643826761474
RAnkleAngles_ax1_phase_10_20_max__median,0.058823529411764705,0.058823529411764705,0.0,0.13122171945701358,0.967741935483871,0.07239819004524888
RAnkleAngles_ax1_phase_10_20_rom__median,-0.12605042016806722,-0.125,-0.21266968325791855,-0.058823529411764705,1.0,0.08661926308985132
RAnkleAngles_ax1_phase_20_30_rom__median,-0.13445378151260504,-0.11607142857142858,-0.20361990950226244,-0.06787330316742081,1.0,0.0691661279896574
RAnkleAngles_ax1_phase_30_40_rom__median,0.16806722689075632,0.16964285714285715,0.10407239819004525,0.23214285714285715,1.0,0.06407563025210083
RAnkleAngles_ax1_phase_40_50_rom__median,0.06722689075630252,0.06787330316742081,-0.004524886877828055,0.14027149321266968,0.9354838709677419,0.07304460245636717
RAnkleAngles_ax1_phase_50_60_min__median,0.29411764705882354,0.2850678733031674,0.2398190045248869,0.3755656108597285,1.0,0.08144796380090497
RAnkleAngles_ax1_phase_50_60_rom__median,-0.025210084033613446,-0.02262443438914027,-0.10407239819004525,0.049773755656108594,0.6451612903225806,0.0788623141564318
RAnkleAngles_ax1_phase_70_80_min__median,0.08403361344537816,0.08928571428571429,0.026785714285714284,0.1583710407239819,1.0,0.07433742727860373
