feature,observed_cliffs_delta,perm_p,n_perm,unit
sym_AJC_path3d_absdiff,-0.09243697478991597,0.66,999,subject
sym_AJC_path3d_si,0.17647058823529413,0.425,999,subject
sym_HEE_ax1_excursion_absdiff,0.3025210084033613,0.165,999,subject
sym_HEE_path3d_absdiff,0.3025210084033613,0.15,999,subject
sym_HEE_path3d_si,0.2773109243697479,0.196,999,subject
sym_TOE_path3d_absdiff,0.18487394957983194,0.365,999,subject
sym_PSI_ax1_excursion_absdiff,-0.15966386554621848,0.5,999,subject
var_cycle_duration_s_cv,-0.13445378151260504,0.55,999,subject
var_cycle_duration_s_mad,-0.10504201680672269,0.601,999,subject
var_stance_pct_sd,-0.01680672268907563,0.959,999,subject
var_stance_pct_mad,0.04201680672268908,0.868,999,subject
var_LKneeAngles_ax1_rom_sd,0.05042016806722689,0.819,999,subject
var_LKneeAngles_ax1_rom_mad,0.226890756302521,0.317,999,subject
var_RKneeAngles_ax1_rom_sd,-0.008403361344537815,0.981,999,subject
var_RKneeAngles_ax1_rom_mad,0.17647058823529413,0.411,999,subject
var_LHipAngles_ax1_rom_sd,-0.226890756302521,0.284,999,subject
var_LHipAngles_ax1_rom_mad,-0.17647058823529413,0.403,999,subject
var_RHipAngles_ax1_rom_sd,0.14285714285714285,0.531,999,subject
var_RHipAngles_ax1_rom_mad,0.2689075630252101,0.214,999,subject
var_LAnkleAngles_ax1_rom_sd,-0.2184873949579832,0.324,999,subject
var_LAnkleAngles_ax1_rom_cv,-0.2184873949579832,0.326,999,subject
var_LAnkleAngles_ax1_rom_mad,-0.16806722689075632,0.43,999,subject
var_RAnkleAngles_ax1_rom_sd,-0.11764705882352941,0.591,999,subject
var_RAnkleAngles_ax1_rom_mad,-0.03361344537815126,0.888,999,subject
var_LKneeAngles_ax1_tmax_pct_sd,0.07563025210084033,0.735,999,subject
var_LKneeAngles_ax1_tmax_pct_cv,0.06722689075630252,0.781,999,subject
var_LKneeAngles_ax1_tmax_pct_mad,0.025210084033613446,0.926,999,subject
var_RKneeAngles_ax1_tmax_pct_sd,-0.08403361344537816,0.703,999,subject
var_RKneeAngles_ax1_tmax_pct_cv,-0.12605042016806722,0.556,999,subject
var_RKneeAngles_ax1_tmax_pct_mad,-0.3949579831932773,0.059,999,subject
var_CentreOfMass_path3d_sd,0.12605042016806722,0.562,999,subject
var_CentreOfMass_path3d_mad,0.07563025210084033,0.738,999,subject
