feature,cliffs_delta,cliffs_delta_ci_lo,cliffs_delta_ci_hi,cliffs_magnitude,direction,abs_median_diff,rel_median_diff,standardized_median_iqr
LKneeAngles_ax3_tpeak_vel_pct__median,-0.18907563025210083,-0.5672268907563025,0.226890756302521,small,VICTIMS_LOWER,6.5,-0.11504424778761062,-0.2639593908629442
RHipAngles_ax1_phase_40_50_rom__median,0.15966386554621848,-0.2691176470588235,0.5546218487394958,small,VICTIMS_HIGHER,1.2626166343688965,0.29436626184944437,0.5583085118573774
RFootProgressAngles_ax2_max__median,0.14285714285714285,-0.3277310924369748,0.5714285714285714,negligible,VICTIMS_HIGHER,3.508669376373291,0.505051813329248,0.5639661885691261
RKneeAngles_ax2_tmin_pct__median,0.18487394957983194,-0.24401260504201677,0.5925420168067226,small,VICTIMS_HIGHER,6.0,0.12244897959183673,0.16161616161616163
LAnkleAngles_ax1_rom__median,-0.18487394957983194,-0.5884453781512605,0.21869747899159644,small,VICTIMS_LOWER,0.21973037719726562,-0.006498834728955487,-0.026310411907812612
LAnkleAngles_ax1_phase_10_20_mean__median,0.16806722689075632,-0.23550420168067226,0.6136554621848738,small,VICTIMS_HIGHER,3.7442255805246534,2.71756781611673,0.5277819004544473
sym_ASI_ax1_excursion_absdiff,0.19327731092436976,-0.25210084033613445,0.6134453781512605,small,VICTIMS_HIGHER,2.191838264465332,0.3147741100917557,0.18907026687139394
RKneeAngles_ax1_tpeak_vel_pct__median,0.1638655462184874,-0.25210084033613445,0.5590336134453779,small,VICTIMS_HIGHER,22.25,0.4708994708994709,0.5021156558533145
sym_AJC_path3d_si,0.17647058823529413,-0.24369747899159663,0.5800420168067225,small,VICTIMS_HIGHER,0.3531911877365498,0.838734306002234,0.3422185093594305
LKneeAngles_ax1_phase_40_50_mean__median,0.2184873949579832,-0.20168067226890757,0.5966386554621849,small,VICTIMS_HIGHER,0.8676216006278974,0.05758254198794645,0.14108643996664164
RHipAngles_ax3_min__median,-0.17647058823529413,-0.5714285714285714,0.23529411764705882,small,VICTIMS_LOWER,3.848982810974121,-0.14610383475093663,-0.21128839630650992
LKneeAngles_ax2_peak_acc__median,0.15966386554621848,-0.22710084033613445,0.6050420168067226,small,VICTIMS_HIGHER,728.5125735908532,0.22263715831790493,0.42112929437764096
RHipAngles_ax1_phase_0_10_rom__median,0.17647058823529413,-0.23550420168067226,0.5798319327731093,small,VICTIMS_HIGHER,0.13667500019073486,0.056132720236176784,0.27036520820066273
RAnkleAngles_ax1_phase_60_70_max__median,0.19327731092436976,-0.20168067226890757,0.5716386554621846,small,VICTIMS_HIGHER,0.4782450199127197,0.06169687798704618,0.14610404331498097
coord_right_knee_ankle_ax1_lag_pct__median,0.21428571428571427,-0.16806722689075632,0.6012605042016803,small,VICTIMS_HIGHER,1.0,0.2,0.4
LKneeAngles_ax1_phase_20_30_rom__median,-0.21008403361344538,-0.6050420168067226,0.21029411764705863,small,VICTIMS_LOWER,0.28020691871643066,-0.04235409565369533,-0.16144041732338194
RAnkleAngles_ax1_mean__median,0.16806722689075632,-0.21008403361344538,0.5294117647058824,small,VICTIMS_HIGHER,1.2870450813950285,0.18193602078133256,0.33730223458897785
LKJC_ax3_excursion__median,0.17647058823529413,-0.24432773109243694,0.6050420168067226,small,VICTIMS_HIGHER,6.86395263671875,0.07982153206038411,0.4027608127542655
LKneeAngles_ax3_max__median,0.15126050420168066,-0.26071428571428573,0.5882352941176471,small,VICTIMS_HIGHER,2.4696671962738037,1.4910903031091254,0.2399350823732021
LKneeAngles_ax1_phase_30_40_rom__median,0.16806722689075632,-0.26071428571428573,0.5462184873949579,small,VICTIMS_HIGHER,6.86615514755249,0.6018814297799614,0.5427709160537579
RKneeAngles_ax1_phase_40_50_mean__median,0.16806722689075632,-0.25210084033613445,0.554831932773109,small,VICTIMS_HIGHER,1.3270419120788581,0.07668757373440589,0.2399842695669521
LASI_ax2_excursion__median,-0.2184873949579832,-0.5966386554621849,0.20189075630252082,small,VICTIMS_LOWER,0.43276214599609375,0.007615560215528289,0.02751790257918786
LKneeAngles_ax2_tpeak_vel_pct__median,-0.14705882352941177,-0.5756302521008403,0.29411764705882354,small,VICTIMS_LOWER,10.75,-0.1963470319634703,-0.42574257425742573
RKneeAngles_ax2_tpeak_vel_pct__median,0.14705882352941177,-0.29411764705882354,0.6050420168067226,small,VICTIMS_HIGHER,9.5,0.21839080459770116,0.3559718969555035
RHipAngles_ax2_max__median,0.15966386554621848,-0.24390756302521008,0.5380252100840334,small,VICTIMS_HIGHER,0.38112878799438477,0.04401579620166232,0.09511288016693081
RTOE_ax2_excursion__median,-0.16806722689075632,-0.5630252100840336,0.24369747899159663,small,VICTIMS_LOWER,4.380757808685303,-0.0678603327298121,-0.21943967555341243
RAnkleAngles_ax1_phase_80_90_rom__median,0.17647058823529413,-0.3111344537815126,0.6050420168067226,small,VICTIMS_HIGHER,0.06301391124725342,0.018836191283559157,0.04573798565497962
var_LHipAngles_ax1_rom_mad,-0.17647058823529413,-0.5968487394957983,0.23550420168067207,small,VICTIMS_LOWER,0.08663821220397949,-0.0630495890439005,-0.1427448215649221
sym_FootProgressAngles_ax1_max_si,-0.18487394957983194,-0.5966386554621849,0.24369747899159663,small,VICTIMS_LOWER,9.337908920986388,-2.731690932229546,-0.3326097755685828
sym_AbsAnkleAngle_ax1_max_absdiff,0.15126050420168066,-0.2523109243697479,0.5462184873949579,small,VICTIMS_HIGHER,0.8627700805664062,0.42989864583922377,0.32440618384496256
LAnkleAngles_ax1_phase_0_10_min__median,0.16806722689075632,-0.23529411764705882,0.554831932773109,small,VICTIMS_HIGHER,0.48091959953308105,0.14899325076616604,0.07869688114685167
LKneeAngles_ax1_phase_80_90_rom__median,-0.15126050420168066,-0.5798319327731093,0.26911764705882335,small,VICTIMS_LOWER,6.411951303482056,-0.33917675626999705,-0.3847056722464866
sym_PSI_ax1_excursion_absdiff,-0.15966386554621848,-0.5716386554621848,0.2773109243697479,small,VICTIMS_LOWER,4.451972961425781,-0.42722554410893676,-0.3865740111043414
LAnkleAngles_ax1_tmax_pct__median,-0.18487394957983194,-0.5505252100840337,0.22699579831932765,small,VICTIMS_LOWER,0.25,0.0049261083743842365,0.1111111111111111
LAnkleAngles_ax2_rom__median,-0.13445378151260504,-0.5716386554621848,0.3697478991596639,negligible,VICTIMS_LOWER,0.20450592041015625,-0.032505260655992664,-0.06364325055475965
RHipAngles_ax1_phase_90_100_rom__median,-0.13445378151260504,-0.5630252100840336,0.285924369747899,negligible,VICTIMS_LOWER,1.4340675473213196,-0.22250200594488237,-0.40603071609111724
RAnkleAngles_ax1_phase_20_30_rom__median,-0.13445378151260504,-0.5464285714285714,0.3027310924369746,negligible,VICTIMS_LOWER,1.0800127070397139,-0.14832808085056312,-0.23066283683464825
RAnkleAngles_ax3_tpeak_vel_pct__median,-0.15966386554621848,-0.5714285714285714,0.2523109243697477,small,VICTIMS_LOWER,6.75,-0.1330049261083744,-0.24
LHipAngles_ax1_rom__median,-0.14285714285714285,-0.5632352941176471,0.285924369747899,negligible,VICTIMS_LOWER,0.8259952068328857,-0.017633568065328422,-0.14635148284702937
LFootProgressAngles_ax3_min__median,0.14285714285714285,-0.2773109243697479,0.5630252100840336,negligible,VICTIMS_HIGHER,1.0135362148284912,0.07822086552769315,0.13393779714730397
LHipAngles_ax1_phase_80_90_rom__median,-0.14285714285714285,-0.5380252100840336,0.285924369747899,negligible,VICTIMS_LOWER,0.362003892660141,-0.039792100990638256,-0.21065728045404777
RHipAngles_ax1_phase_20_30_rom__median,-0.14285714285714285,-0.5630252100840336,0.2773109243697479,negligible,VICTIMS_LOWER,1.0892634391784668,-0.07462433124871391,-0.24450521438435743
sym_TOE_path3d_absdiff,0.18487394957983194,-0.24369747899159663,0.5716386554621846,small,VICTIMS_HIGHER,3.8269943967138715,0.39168229905479984,0.39099377567369115
LKneeAngles_ax3_rom__median,-0.11764705882352941,-0.5548319327731093,0.33613445378151263,negligible,VICTIMS_LOWER,1.9629981964826584,-0.09430510453338861,-0.2394676911152742
LAnkleAngles_ax3_tpeak_vel_pct__median,0.17647058823529413,-0.24789915966386555,0.5547268907563024,small,VICTIMS_HIGHER,2.0,-0.043478260869565216,-0.05536332179930796
LFootProgressAngles_ax2_tmin_pct__median,0.11764705882352941,-0.28991596638655465,0.5169117647058823,negligible,VICTIMS_HIGHER,1.5,0.030303030303030304,0.38095238095238093
var_RHipAngles_ax1_rom_sd,0.14285714285714285,-0.294327731092437,0.5632352941176468,negligible,VICTIMS_HIGHER,0.2672059142894452,0.14533141425462578,0.4001764971194544
RAnkleAngles_ax1_phase_30_40_rom__median,0.16806722689075632,-0.22710084033613445,0.5632352941176468,small,VICTIMS_HIGHER,0.2949663996696472,0.08074772357932115,0.12356536136360294
