channel,time_percent,control_median,n_control,level
RASI_ax2,95,194.36188507080078,14,secondary
RASI_ax2,96,193.7602882385254,14,secondary
RASI_ax2,97,193.0698356628418,14,secondary
RASI_ax2,98,192.3558006286621,14,secondary
RASI_ax2,99,191.51689910888672,14,secondary
RASI_ax2,100,190.37124633789062,14,secondary
RASI_ax3,0,908.9102478027344,14,secondary
RASI_ax3,1,906.9990692138672,14,secondary
RASI_ax3,2,905.1819000244141,14,secondary
RASI_ax3,3,903.7414245605469,14,secondary
RASI_ax3,4,902.2899017333984,14,secondary
RASI_ax3,5,900.7720184326172,14,secondary
RASI_ax3,6,899.708984375,14,secondary
RASI_ax3,7,899.2470092773438,14,secondary
RASI_ax3,8,898.6460266113281,14,secondary
RASI_ax3,9,898.7237396240234,14,secondary
RASI_ax3,10,899.5566253662109,14,secondary
RASI_ax3,11,901.5005950927734,14,secondary
RASI_ax3,12,903.1555938720703,14,secondary
RASI_ax3,13,905.0634918212891,14,secondary
RASI_ax3,14,906.5710754394531,14,secondary
RASI_ax3,15,907.4837341308594,14,secondary
RASI_ax3,16,908.9567718505859,14,secondary
RASI_ax3,17,910.775634765625,14,secondary
RASI_ax3,18,912.5878753662109,14,secondary
RASI_ax3,19,914.6026153564453,14,secondary
RASI_ax3,20,917.0964050292969,14,secondary
RASI_ax3,21,919.959716796875,14,secondary
RASI_ax3,22,922.2855682373047,14,secondary
RASI_ax3,23,923.6846160888672,14,secondary
RASI_ax3,24,925.132080078125,14,secondary
RASI_ax3,25,926.6837768554688,14,secondary
RASI_ax3,26,928.7701568603516,14,secondary
RASI_ax3,27,930.7869720458984,14,secondary
RASI_ax3,28,932.1587524414062,14,secondary
RASI_ax3,29,933.1057434082031,14,secondary
RASI_ax3,30,934.2486877441406,14,secondary
RASI_ax3,31,935.3682403564453,14,secondary
RASI_ax3,32,935.5263824462891,14,secondary
RASI_ax3,33,935.3598327636719,14,secondary
RASI_ax3,34,935.2289123535156,14,secondary
