feature,n_subjects,n_victims,n_controls,victim_median,control_median,victim_mean,control_mean,abs_median_diff,rel_median_diff,cliffs_delta,standardized_median_iqr,cliffs_delta_ci_lo,cliffs_delta_ci_hi,cliffs_magnitude,direction,victim_consistency,control_consistency,mannwhitney_u,raw_p,test,fdr_q,adjusted_p,full_cliffs_delta,loso_delta_median,loso_delta_min,loso_delta_max,loso_direction_agreement,loso_max_abs_shift,observed_cliffs_delta,perm_p,n_perm,unit,anatomical_region,family,side,source_signal,rank_score,signature_status,rank,phase_lo,phase_hi,phase_mid
LAnkleAngles_ax1_phase_10_20_mean__median,31,17,14,2.3664400627836586,-1.3777855177409948,0.0019152891109971884,-1.2826817362037084,3.7442255805246534,2.71756781611673,0.16806722689075632,0.5277819004544473,-0.23550420168067226,0.6136554621848738,small,VICTIMS_HIGHER,0.7058823529411765,0.7857142857142857,139.0,0.43890886310183785,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.16806722689075632,0.14285714285714285,0.10407239819004525,0.2579185520361991,1.0,0.0898513251454428,0.16806722689075632,0.423,999,subject,ankle,phase,left,LAnkleAngles,0.01601581809194266,exploratory,109,10,20,15.0
LKneeAngles_ax1_phase_40_50_mean__median,31,17,14,15.935063409805297,15.0674418091774,16.15913240236833,14.440147210231848,0.8676216006278974,0.05758254198794645,0.2184873949579832,0.14108643996664164,-0.20168067226890757,0.5966386554621849,small,VICTIMS_HIGHER,0.5294117647058824,0.5714285714285714,145.0,0.31144131894886007,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.2184873949579832,0.22321428571428573,0.1583710407239819,0.29411764705882354,1.0,0.07563025210084034,0.2184873949579832,0.315,999,subject,knee,phase,left,LKneeAngles,0.015615422639644095,exploratory,113,40,50,45.0
RHipAngles_ax1_phase_0_10_rom__median,31,17,14,2.5715293884277344,2.4348543882369995,2.620829017723308,2.4330999851226807,0.13667500019073486,0.056132720236176784,0.17647058823529413,0.27036520820066273,-0.23550420168067226,0.5798319327731093,small,VICTIMS_HIGHER,0.6470588235294118,0.5714285714285714,140.0,0.41579890439747025,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.17647058823529413,0.17857142857142858,0.11312217194570136,0.24107142857142858,1.0,0.06460084033613445,0.17647058823529413,0.414,999,subject,hip,phase,right,RHipAngles,0.015415224913494813,exploratory,116,0,10,5.0
RAnkleAngles_ax1_phase_60_70_max__median,31,17,14,8.229772090911865,7.7515270709991455,7.646906856228323,6.230168725763049,0.4782450199127197,0.06169687798704618,0.19327731092436976,0.14610404331498097,-0.20168067226890757,0.5716386554621846,small,VICTIMS_HIGHER,0.5882352941176471,0.7142857142857143,142.0,0.371793069296558,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.19327731092436976,0.19457013574660634,0.13122171945701358,0.2669683257918552,1.0,0.07369101486748544,0.19327731092436976,0.371,999,subject,ankle,phase,right,RAnkleAngles,0.015348492338111717,exploratory,117,60,70,65.0
LKneeAngles_ax1_phase_20_30_rom__median,31,17,14,6.335609436035156,6.615816354751587,6.830038863069871,7.427698203495571,0.28020691871643066,-0.04235409565369533,-0.21008403361344538,-0.16144041732338194,-0.6050420168067226,0.21029411764705863,small,VICTIMS_LOWER,0.5294117647058824,0.7142857142857143,94.0,0.330797823330896,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.21008403361344538,-0.22171945701357465,-0.2767857142857143,-0.1493212669683258,1.0,0.06670168067226892,-0.21008403361344538,0.326,999,subject,knee,phase,left,LKneeAngles,0.015014829461196245,exploratory,119,20,30,25.0
LKneeAngles_ax1_phase_30_40_rom__median,31,17,14,18.273975372314453,11.407820224761963,16.84527385936064,14.588706527437482,6.86615514755249,0.6018814297799614,0.16806722689075632,0.5427709160537579,-0.26071428571428573,0.5462184873949579,small,VICTIMS_HIGHER,0.6470588235294118,0.6428571428571429,139.0,0.43890886310183785,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.16806722689075632,0.1583710407239819,0.11312217194570136,0.2579185520361991,1.0,0.0898513251454428,0.16806722689075632,0.451,999,subject,knee,phase,left,LKneeAngles,0.014681166584280772,exploratory,123,30,40,35.0
RKneeAngles_ax1_phase_40_50_mean__median,31,17,14,18.631565284729003,17.304523372650145,17.696271763128394,16.54872414810317,1.3270419120788581,0.07668757373440589,0.16806722689075632,0.2399842695669521,-0.25210084033613445,0.554831932773109,small,VICTIMS_HIGHER,0.6470588235294118,0.6428571428571429,139.0,0.43890886310183785,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.16806722689075632,0.16071428571428573,0.10407239819004525,0.2579185520361991,1.0,0.0898513251454428,0.16806722689075632,0.435,999,subject,knee,phase,right,RKneeAngles,0.014681166584280772,exploratory,124,40,50,45.0
RAnkleAngles_ax1_phase_80_90_rom__median,31,17,14,3.4083776473999023,3.345363736152649,3.882114118512939,3.451903611421585,0.06301391124725342,0.018836191283559157,0.17647058823529413,0.04573798565497962,-0.3111344537815126,0.6050420168067226,small,VICTIMS_HIGHER,0.5882352941176471,0.5,140.0,0.41579890439747025,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.17647058823529413,0.1875,0.11312217194570136,0.248868778280543,1.0,0.07239819004524886,0.17647058823529413,0.403,999,subject,ankle,phase,right,RAnkleAngles,0.014013840830449828,exploratory,130,80,90,85.0
LAnkleAngles_ax1_phase_0_10_min__median,31,17,14,3.7087141275405884,3.2277945280075073,4.239025891703718,3.237554119633777,0.48091959953308105,0.14899325076616604,0.16806722689075632,0.07869688114685167,-0.23529411764705882,0.554831932773109,small,VICTIMS_HIGHER,0.5882352941176471,0.5714285714285714,139.0,0.43890886310183785,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.16806722689075632,0.16964285714285715,0.10407239819004525,0.22321428571428573,1.0,0.06399482870071106,0.16806722689075632,0.465,999,subject,ankle,phase,left,LAnkleAngles,0.013346515076618885,exploratory,134,0,10,5.0
LKneeAngles_ax1_phase_80_90_rom__median,31,17,14,12.492502450942993,18.90445375442505,15.268546419108615,17.757619040352957,6.411951303482056,-0.33917675626999705,-0.15126050420168066,-0.3847056722464866,-0.5798319327731093,0.26911764705882335,small,VICTIMS_LOWER,0.6470588235294118,0.6428571428571429,101.0,0.4872755078332215,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.15126050420168066,-0.14285714285714285,-0.2398190045248869,-0.08597285067873303,1.0,0.08855850032320622,-0.15126050420168066,0.459,999,subject,knee,phase,left,LKneeAngles,0.013213049925852696,exploratory,135,80,90,85.0
