subject_id,channel,victimized,vel_rms,mean_abs_accel,n_extrema
S27,RFootProgressAngles_ax1,Y,2.6900441755522055,0.2952269832048342,4.0
S3,RFootProgressAngles_ax1,Y,1.7434448930787505,0.2397423097567818,3.0
S30,RFootProgressAngles_ax1,N,3.0124762927573085,0.2971952619783506,2.0
S31,RFootProgressAngles_ax1,Y,2.4815650365998385,0.29800198475382345,4.0
S32,RFootProgressAngles_ax1,Y,2.910983745069888,0.34192778431994186,4.0
S34,RFootProgressAngles_ax1,Y,2.760841786752565,0.331956306086343,4.0
S35,RFootProgressAngles_ax1,N,2.5527558283732565,0.4107035189635235,6.0
S37,RFootProgressAngles_ax1,Y,2.4194837381953365,0.2745124359569284,4.0
S38,RFootProgressAngles_ax1,Y,2.294790911745232,0.290192858303258,4.0
S39,RFootProgressAngles_ax1,N,1.5658042407842672,0.19112389760469914,4.0
S4,RFootProgressAngles_ax1,Y,2.4377157211031166,0.2534766348853975,3.0
S40,RFootProgressAngles_ax1,N,2.4639650934490707,0.2943203969512306,4.0
S41,RFootProgressAngles_ax1,N,1.9248776779591523,0.20917141549506707,4.0
S42,RFootProgressAngles_ax1,N,2.6379898646652666,0.2947520106572089,3.0
S43,RFootProgressAngles_ax1,N,2.6371635436614826,0.2675839949755788,4.0
S46,RFootProgressAngles_ax1,Y,2.3439834846510794,0.2648702533111524,3.0
S48,RFootProgressAngles_ax1,N,2.4483838585672295,0.26642132128968066,4.0
S5,RFootProgressAngles_ax1,Y,2.392137194416244,0.2902686188345271,3.0
S7,RFootProgressAngles_ax1,Y,2.3702044715346378,0.2415426387059227,3.0
S8,RFootProgressAngles_ax1,Y,2.59900388695426,0.2904841109710331,4.0
S9,RFootProgressAngles_ax1,N,2.4626809574812367,0.3063911834697797,4.0
S11,CentreOfMass_ax1,N,11.3622948642342,1.9449913480775114,6.0
S12,CentreOfMass_ax1,N,12.307307899257232,2.4966853644780733,8.0
S13,CentreOfMass_ax1,Y,13.255998556609553,2.1109165437370785,5.0
S14,CentreOfMass_ax1,Y,7.235144805207179,1.4665056773739005,10.0
S15,CentreOfMass_ax1,Y,9.811157577930723,2.0013345437843317,8.0
S17,CentreOfMass_ax1,N,12.213564363747318,2.2356793248388804,7.0
S19,CentreOfMass_ax1,Y,6.50340566995614,0.349424883953342,2.0
S2,CentreOfMass_ax1,N,10.791921180058111,2.226251974539258,9.0
S23,CentreOfMass_ax1,N,11.174426961303658,3.0566263667007045,10.0
S26,CentreOfMass_ax1,Y,9.567429392981213,1.3362608441254429,10.0
S27,CentreOfMass_ax1,Y,10.383876420440762,1.0818141852825232,7.0
S3,CentreOfMass_ax1,Y,9.641729803594687,2.1181709511236297,10.0
S30,CentreOfMass_ax1,N,15.210541707775567,0.12265729077694922,0.0
S31,CentreOfMass_ax1,Y,13.203494427072602,1.6968510626932178,4.0
S32,CentreOfMass_ax1,Y,12.990116956590645,0.5899549297299315,3.0
S34,CentreOfMass_ax1,Y,10.898382248187394,2.3350470299762467,10.0
S35,CentreOfMass_ax1,N,12.197196527163076,2.2126637536518783,7.0
S37,CentreOfMass_ax1,Y,11.233446084297741,2.495335986963113,7.0
S38,CentreOfMass_ax1,Y,10.41758083734073,3.04464163469098,14.0
S39,CentreOfMass_ax1,N,8.172450555946916,1.4316902416841844,8.0
S4,CentreOfMass_ax1,Y,11.268762413004042,1.5653062951746652,6.0
S40,CentreOfMass_ax1,N,13.928019906235942,1.4169283438588836,3.0
S41,CentreOfMass_ax1,N,11.830228825651954,1.036015563625361,5.0
S42,CentreOfMass_ax1,N,8.960691460434441,1.5755933073870136,12.0
S43,CentreOfMass_ax1,N,12.557998470319479,1.663155474177815,4.0
S46,CentreOfMass_ax1,Y,10.755982685537415,2.5754103572213247,11.0
